# x_m; y_m
1.0748956; -0.1528569
1.0663060; 0.0469166
1.0545386; 0.2465104
1.0396077; 0.4458964
1.0215198; 0.6450256
1.0002757; 0.8438271
0.9758694; 1.0422891
0.9483040; 1.2403209
0.9175751; 1.4378904
0.8836811; 1.6349460
0.8466241; 1.8314144
0.8063948; 2.0272831
0.7629999; 2.2224580
0.7164341; 2.4169046
0.6666958; 2.6105688
0.6137897; 2.8033741
0.5577038; 2.9953044
0.4984490; 3.1862630
0.4360192; 3.3762111
0.3704139; 3.5650908
0.3016407; 3.7528228
0.2296861; 3.9393840
0.1545650; 4.1246760
0.0762721; 4.3086539
-0.0051913; 4.4912548
-0.0898149; 4.6723964
-0.1776109; 4.8520452
-0.2685609; 5.0301029
-0.3626680; 5.2065153
-0.4599281; 5.3812134
-0.5603282; 5.5541122
-0.6638764; 5.7251633
-0.7705523; 5.8942695
-0.8803544; 6.0613646
-0.9932745; 6.2263718
-1.1092973; 6.3892036
-1.2284183; 6.5497925
-1.3506074; 6.7080549
-1.4758380; 6.8639194
-1.6040538; 7.0173400
-1.7351692; 7.1682953
-1.8690872; 7.3167597
-2.0057193; 7.4627394
-2.1449611; 7.6062286
-2.2867181; 7.7472315
-2.4309059; 7.8857609
-2.5774179; 8.0218084
-2.7261862; 8.1554013
-2.8771160; 8.2865417
-3.0301270; 8.4152445
-3.1851516; 8.5415340
-3.3420890; 8.6654081
-3.5008905; 8.7869054
-3.6614706; 8.9060354
-3.8237606; 9.0228206
-3.9877064; 9.1372933
-4.1532150; 9.2494587
-4.3202509; 9.3593619
-4.4887381; 9.4670201
-4.6586176; 9.5724621
-4.8298448; 9.6757256
-5.0023371; 9.7768253
-5.1760667; 9.8758087
-5.3509678; 9.9727007
-5.5269898; 10.0675355
-5.7040951; 10.1603541
-5.8822136; 10.2511804
-6.0613212; 10.3400623
-6.2413627; 10.4270317
-6.4222952; 10.5121269
-6.6040860; 10.5953911
-6.7866785; 10.6768563
-6.9700498; 10.7565700
-7.1541551; 10.8345699
-7.3389583; 10.9108975
-7.5244304; 10.9855975
-7.7105283; 11.0587086
-7.8972283; 11.1302776
-8.0844959; 11.2003468
-8.2723009; 11.2689603
-8.4606165; 11.3361637
-8.6494130; 11.4020012
-8.8386646; 11.4665188
-9.0283464; 11.5297624
-9.2184331; 11.5917782
-9.4088994; 11.6526122
-9.5997277; 11.7123130
-9.7908899; 11.7709259
-9.9823688; 11.8284995
-10.1741438; 11.8850816
-10.3661907; 11.9407187
-10.5585014; 11.9954615
-10.7510477; 12.0493524
-10.9438191; 12.1024383
-11.1367995; 12.1547634
-11.3299674; 12.2063697
-11.5233231; 12.2573050
-11.7168371; 12.3076089
-11.9105042; 12.3573279
-12.1043112; 12.4065059
-12.2982359; 12.4551850
-12.4922857; 12.5034144
-12.6864282; 12.5512335
-12.8806622; 12.5986895
-13.0749761; 12.6458268
-13.2693469; 12.6926874
-13.4637875; 12.7393218
-13.6582624; 12.7857687
-13.8527734; 12.8320761
-14.0473097; 12.8782887
-14.2418471; 12.9244482
-14.4364023; 12.9706059
-14.6309371; 13.0168003
-14.8254547; 13.0630795
-15.0199444; 13.1094885
-15.2143808; 13.1560687
-15.4087823; 13.2028720
-15.6031082; 13.2499362
-15.7973622; 13.2973097
-15.9915325; 13.3450375
-16.1855925; 13.3931604
-16.3795601; 13.4417309
-16.5733928; 13.4907859
-16.7670933; 13.5403740
-16.9606479; 13.5905396
-17.1540287; 13.6413234
-17.3472511; 13.6927775
-17.5402711; 13.7449384
-17.7330889; 13.7978543
-17.9256885; 13.8515691
-18.1180402; 13.9061229
-18.3101548; 13.9615673
-18.5019876; 14.0179381
-18.6935349; 14.0752828
-18.8847772; 14.1336446
-19.0756831; 14.1930628
-19.2662569; 14.2535880
-19.4564534; 14.3152552
-19.6462635; 14.3781109
-19.8356637; 14.4421971
-20.0246207; 14.5075524
-20.2131301; 14.5742252
-20.4011467; 14.6422502
-20.5886547; 14.7116719
-20.7756259; 14.7825309
-20.9620245; 14.8548646
-21.1478360; 14.9287188
-21.3330153; 15.0041273
-21.5175383; 15.0811323
-21.7013715; 15.1597722
-21.8844765; 15.2400831
-22.0668271; 15.3221067
-22.2483779; 15.4058763
-22.4290961; 15.4914305
-22.6089417; 15.5788050
-22.7878708; 15.6680334
-22.9658450; 15.7591503
-23.1428284; 15.8521854
-23.3187719; 15.9471573
-23.4936650; 16.0440560
-23.6675167; 16.1428420
-23.8402958; 16.2434448
-24.0120529; 16.3458197
-24.1827826; 16.4498853
-24.3525083; 16.5555772
-24.5212614; 16.6628366
-24.6890391; 16.7715826
-24.8558911; 16.8817681
-25.0218261; 16.9933195
-25.1868745; 17.1061774
-25.3510718; 17.2202863
-25.5144269; 17.3355721
-25.6769910; 17.4519903
-25.8387812; 17.5694723
-25.9998338; 17.6879634
-26.1601881; 17.8074113
-26.3198609; 17.9277467
-26.4789059; 18.0489280
-26.6373459; 18.1708906
-26.7952215; 18.2935832
-26.9525754; 18.4169563
-27.1094295; 18.5409441
-27.2658397; 18.6655077
-27.4218327; 18.7905849
-27.5774520; 18.9161272
-27.7327427; 19.0420873
-27.8877298; 19.1684014
-28.0424708; 19.2950327
-28.1969948; 19.4219206
-28.3513468; 19.5490181
-28.5055730; 19.6762790
-28.6597006; 19.8036415
-28.8137868; 19.9310684
-28.9678622; 20.0585005
-29.1219722; 20.1858914
-29.2761627; 20.3131950
-29.4304618; 20.4403495
-29.5849284; 20.5673150
-29.7395956; 20.6940294
-29.8945105; 20.8204408
-30.0497215; 20.9464969
-30.2052620; 21.0721335
-30.3611860; 21.1973028
-30.5175303; 21.3219431
-30.6743389; 21.4459985
-30.8316556; 21.5694128
-30.9895171; 21.6921244
-31.1479674; 21.8140773
-31.3070449; 21.9352111
-31.4667877; 22.0554652
-31.6272337; 22.1747787
-31.7884217; 22.2930912
-31.9503833; 22.4103376
-32.1131575; 22.5264574
-32.2767752; 22.6413846
-32.4412660; 22.7550522
-32.6066695; 22.8674000
-32.7730035; 22.9783532
-32.9403054; 23.0878495
-33.1085971; 23.1958170
-33.2778988; 23.3021821
-33.4482481; 23.4068825
-33.6196481; 23.5098343
-33.7921317; 23.6109717
-33.9657106; 23.7102162
-34.1403933; 23.8074876
-34.3162128; 23.9027192
-34.4931562; 23.9958190
-34.6712490; 24.0867159
-34.8504905; 24.1753246
-35.0308761; 24.2615582
-35.2124297; 24.3453435
-35.3951220; 24.4265820
-35.5789672; 24.5051952
-35.7639498; 24.5810915
-35.9500502; 24.6541776
-36.1372777; 24.7243716
-36.3255868; 24.7915705
-36.5149747; 24.8556871
-36.7054090; 24.9166237
-36.8968526; 24.9742812
-37.0892933; 25.0285681
-37.2826695; 25.0793783
-37.4769548; 25.1266155
-37.6720969; 25.1701766
-37.8680381; 25.2099581
-38.0647358; 25.2458585
-38.2621141; 25.2777696
-38.4601124; 25.3055855
-38.6586562; 25.3292005
-38.8576636; 25.3485088
-39.0570472; 25.3634337
-39.2567138; 25.3739748
-39.4565621; 25.3801453
-39.6564971; 25.3819830
-39.8564262; 25.3795421
-40.0562593; 25.3728768
-40.2559086; 25.3620412
-40.4552925; 25.3470889
-40.6543298; 25.3280734
-40.8529426; 25.3050478
-41.0510561; 25.2780647
-41.2486003; 25.2471760
-41.4454998; 25.2124344
-41.6416923; 25.1738901
-41.8371141; 25.1315936
-42.0316873; 25.0855983
-42.2253746; 25.0359483
-42.4180892; 24.9826996
-42.6097919; 24.9258961
-42.8004334; 24.8655834
-42.9899169; 24.8018230
-43.1782516; 24.7346402
-43.3653228; 24.6641003
-43.5511019; 24.5901962
-43.7355290; 24.5129048
-43.9184282; 24.4321942
-44.0997307; 24.3478437
-44.2791814; 24.2596982
-44.4566379; 24.1675847
-44.6319325; 24.0713612
-44.8048006; 23.9709446
-44.9751181; 23.8661787
-45.1426109; 23.7569968
-45.3070713; 23.6432936
-45.4682687; 23.5249767
-45.6259061; 23.4020040
-45.7797479; 23.2742874
-45.9294893; 23.1417922
-46.0748265; 23.0044859
-46.2154422; 22.8623476
-46.3510047; 22.7153696
-46.4811396; 22.5635920
-46.6055011; 22.4070197
-46.7236764; 22.2457397
-46.8352439; 22.0798554
-46.9398223; 21.9094028
-47.0368880; 21.7346452
-47.1260294; 21.5556522
-47.2067176; 21.3727111
-47.2784185; 21.1861414
-47.3407016; 20.9960594
-47.3930364; 20.8031642
-47.4350821; 20.6077087
-47.4668813; 20.4103170
-47.4888327; 20.2116641
-47.5013817; 20.0120994
-47.5049654; 19.8122251
-47.5000505; 19.6123771
-47.4870908; 19.4128689
-47.4665358; 19.2139858
-47.4388391; 19.0160097
-47.4044282; 18.8190330
-47.3637565; 18.6233000
-47.3172406; 18.4288539
-47.2652935; 18.2357410
-47.2083631; 18.0441263
-47.1468041; 17.8538576
-47.0810537; 17.6650558
-47.0114745; 17.4776141
-46.9384310; 17.2914458
-46.8623360; 17.1065855
-46.7834963; 16.9228085
-46.7023015; 16.7400940
-46.6190835; 16.5582883
-46.5341736; 16.3772416
-46.4479246; 16.1968520
-46.3606575; 16.0169525
-46.2726887; 15.8373694
-46.1843598; 15.6579823
-46.0959954; 15.4786377
-46.0078755; 15.2990924
-45.9203958; 15.1193422
-45.8337959; 14.9390609
-45.7484597; 14.7582235
-45.6647300; 14.5767231
-45.5828327; 14.3941920
-45.5032610; 14.2108588
-45.4262074; 14.0262646
